1	-12.0
2	-11.0
3	-10.0
4	-9.0
5	-8.0
6	-7.0
8	-6.0
11	-5.0
14	-4.0
16	-3.5
17	-3.0
19	-2.0
20	-1.0
0	0.0
23	1.0
27	2.0
32	3.0
34	3.5
35	4.0
36	4.5
37	5.0
38	5.5
39	6.0
40	7.0
41	8.0
43	9.0
44	9.5
46	10.0
50	11.0
51	12.0
