959	x-kok
960	11
961	devna
962	chain
963	es_AR
964	Khmer
965	at
966	Iie-e
967	domac
968	1e-ee
969	nn-no
970	C
971	webdu
972	type:
974	B.
975	ara
976	nb-no
977	am
978	fr_CH
979	<<ie-
980	oussa
981	{ie-e
982	ieeee
983	suomi
984	IE:-E
985	sa
986	no-bm
987	cs-CZ
988	??
990	sv_SE
992	valen
993	(en-g
994	Mongo
996	magya
998	<ie-e
999	dfg
1001	wa
1002	ic-ee
1004	eeeee
1005	zz-zz
1006	nabil
1007	da_DK
1009	sepeh
1010	IE:EE
1011	.*ttf
1013	Inaim
1014	web
1015	sp
1016	ie:ie
1017	Kitty
1018	jmk
1019	Textu
1020	ca_ES
1021	pt?
1022	ISO-V
1023	azar
1024	myanm
1025	TCVN
1026	créol
1027	root
1028	jutt
1030	saura
1032	(com.
1033	afgha
1034	syr
1035	mn
1036	VNfon
1037	[eb-G
1038	XXXXX
1039	x-rca
1040	cust-
1041	ie-55
1042	Thaii
1043	ae-ie
1044	irans
1045	Marti
1046	fraça
1047	Latin
1048	es-ee
1049	ir-ee
1050	Main
1051	en_EN
1052	3725
1054	Finni
1055	COREA
1057	PHILP
1058	su
1059	mac-l
1060	en-ge
1061	Swahi
1062	Maced
1063	saudi
1064	defau
1065	br
1066	twchi
1068	en.IS
1069	es@tr
1070	Tieng
1071	es_PE
1072	ee-au
1073	ThaiM
1074	bk_BK
1075	Oriya
1076	VNI-t
1077	vi_VN
1078	en/us
1080	abgfy
1081	teca
1082	je-ee
1084	Art
